B G R Target
131 131 131 PUTIH
131 132 132 PUTIH
129 133 132 PUTIH
132 132 132 PUTIH
131 135 130 PUTIH
132 132 132 PUTIH
129 134 132 PUTIH
136 136 136 PUTIH
130 129 129 PUTIH
128 129 127 PUTIH
128 128 128 PUTIH
126 125 128 PUTIH
126 128 128 PUTIH
132 132 132 PUTIH
118 124 121 PUTIH
122 122 122 PUTIH
118 121 119 PUTIH
121 122 122 PUTIH
119 119 119 PUTIH
117 119 119 PUTIH
123 122 129 PUTIH
126 125 129 PUTIH
125 126 133 PUTIH
119 119 126 PUTIH
121 123 131 PUTIH
120 125 128 PUTIH
115 120 126 PUTIH
122 122 128 PUTIH
115 120 128 PUTIH
122 123 130 PUTIH
122 124 132 PUTIH
118 119 123 PUTIH
117 118 125 PUTIH
114 116 120 PUTIH
116 115 120 PUTIH
128 127 131 PUTIH
120 121 125 PUTIH
130 128 133 PUTIH
123 121 128 PUTIH
120 114 122 PUTIH
125 120 125 PUTIH
130 124 129 PUTIH
131 127 133 PUTIH
129 126 131 PUTIH
129 124 126 PUTIH
125 124 128 PUTIH
126 125 129 PUTIH
128 126 126 PUTIH
127 125 131 PUTIH
130 126 132 PUTIH
133 126 133 PUTIH
132 122 132 PUTIH
142 140 147 PUTIH
139 138 141 PUTIH
136 142 145 PUTIH
142 141 147 PUTIH
125 123 129 PUTIH
129 126 129 PUTIH
141 130 136 PUTIH
135 129 134 PUTIH
128 126 129 PUTIH
145 144 150 PUTIH
145 146 152 PUTIH
147 146 149 PUTIH
146 148 152 PUTIH
144 144 151 PUTIH
147 148 152 PUTIH
147 146 150 PUTIH
144 144 150 PUTIH
149 146 155 PUTIH
145 145 149 PUTIH
149 147 154 PUTIH
146 148 155 PUTIH
141 138 147 PUTIH
137 134 142 PUTIH
132 132 139 PUTIH
138 139 147 PUTIH
133 132 136 PUTIH
123 124 131 PUTIH
134 127 137 PUTIH
131 129 132 PUTIH
135 127 130 PUTIH
135 130 135 PUTIH
132 130 136 PUTIH
135 131 140 PUTIH
140 130 136 PUTIH
137 131 141 PUTIH
135 130 138 PUTIH
137 131 135 PUTIH
137 130 138 PUTIH
135 130 139 PUTIH
138 127 133 PUTIH
142 130 135 PUTIH
138 129 137 PUTIH
138 132 137 PUTIH
137 131 139 PUTIH
133 131 134 PUTIH
136 130 131 PUTIH
134 130 133 PUTIH
132 127 128 PUTIH
135 134 134 PUTIH
135 132 131 PUTIH
134 132 132 PUTIH
141 135 130 PUTIH
132 129 128 PUTIH
138 132 131 PUTIH
135 131 130 PUTIH
134 131 130 PUTIH
135 131 133 PUTIH
136 129 130 PUTIH
137 131 129 PUTIH
130 131 129 PUTIH
138 131 132 PUTIH
134 130 128 PUTIH
135 133 131 PUTIH
135 130 131 PUTIH

